Hyun Jin Ryu,P,29,29,2.32,182.2,24,
Jacobde Grom,P,32,32,2.43,204,44,
Gerrit Cole,P,33,33,2.5,212.1,48,
Justin Verlander,P,34,34,2.58,223,42,
Mike Soroka,P,29,29,2.68,174.2,41,
Jack Flaherty,P,33,33,2.75,196.1,55,
Sonny Gray,P,31,31,2.87,175.1,68,
Max Scherzer,P,27,27,2.92,172.1,33,
Zac kGreinke,P,33,33,2.93,208.2,30,
Clayton Kershaw,P,28,29,3.03,178.1,41,
Charlie Morton,P,33,33,3.05,194.2,57,
Marcus Stroman,P,32,32,3.22,184.1,58,
Patrick Corbin,P,33,33,3.25,202,70,
Walker Buehler,P,30,30,3.26,182.1,37,
Shane Bieber,P,33,34,3.28,214.1,40,
Stephen Strasburg,P,33,33,3.32,209,56,
Dakota Hudson,P,32,33,3.35,174.2,86,
Luis Castillo,P,32,32,3.4,190.2,79,
Lucas Giolito,P,29,29,3.41,176.2,57,
Kyle Hendricks,P,30,30,3.46,177,32,
Jeff Samardzija,P,32,32,3.52,181.1,49,
Mike Minor,P,32,32,3.59,208.1,68,
Lance Lynn,P,33,33,3.67,208.1,59,
Jose Berrios,P,32,32,3.68,200.1,51,
Eduardo Rodriguez,P,34,34,3.81,203.1,75,
Julio Teheran,P,33,33,3.81,174.2,83,
Anibal Sanchez,P,30,30,3.85,166,58,
Aaron Nola,P,34,34,3.87,202.1,80,
Sandy Alcantara,P,32,32,3.88,197.1,81,
Brett Anderson,P,31,31,3.89,176,49,
Anthony DeSclafani,P,31,31,3.89,166.2,49,
Mike Fiers,P,33,33,3.9,184.2,53,
Madison Bumgarner,P,34,34,3.9,207.2,43,
Zack Wheeler,P,31,31,3.96,195.1,50,
Yu Darvish,P,31,31,3.98,178.2,56,
Wade Miley,P,33,33,3.98,167.1,61,
Marco Gonzales,P,34,34,3.99,203,56,
Max Fried,P,30,33,4.02,165.2,47,
Zach Eflin,P,28,32,4.13,163.1,48,
Miles Mikolas,P,32,32,4.16,184,32,
Joey Lucchesi,P,30,30,4.18,163.2,56,
Brad Keller,P,28,28,4.19,165.1,70,
Adam Wainwright,P,31,31,4.19,171.2,64,
Noah Syndergaard,P,32,32,4.28,197.2,50,
Mike Leake,P,32,32,4.29,197,27,
Robbie Ray,P,33,33,4.34,174.1,84,
Tanner Roark,P,31,31,4.35,165.1,51,
Merrill Kelly,P,32,32,4.42,183.1,57,
Joe Musgrove,P,31,32,4.44,170.1,39,
Masahiro Tanaka,P,31,32,4.45,182,40,
Jon Lester,P,31,31,4.46,171.2,52,
Trevor Bauer,P,34,34,4.48,213,82,
Matthew Boyd,P,32,32,4.56,185.1,50,
Homer Bailey,P,31,31,4.57,163.1,53,
Jose Quintana,P,31,32,4.68,171,46,
Ivan Nova,P,34,34,4.72,187,47,
German Marquez,P,28,28,4.76,174,35,
Martin Perez,P,29,32,5.12,165.1,67,
Jakob Junis,P,31,31,5.24,175.1,58,
Reynaldo Lopez,P,33,33,5.38,184,65,
Rick Porcello,P,32,32,5.52,174.1,45,